,id,object,material_detailed,period,excavation_site,connected_location,material_list,material_category,period_category,site_lat,site_long,connected_lat,connected_long
0,1_1,Candlesticks,Glass,17th c,Christ Church,,['Glass'],Glass,Post-Medieval / Early Modern,51.897227, -8.476762,,
1,1_6,Seals Matrix,Bone,,Grand Parade,,['Bone'],Bone,,51.8968534660776, -8.474774051044804,,
2,1_2,Seal: Glass Wine Bottles,,18th c,Grattan Street,,[],,Modern,51.900157, -8.480930,,
3,1_10,Clay Pipe Bowl,,1836-1932,Kyrl'S Quay,,[],,Modern,52.14327457042, -8.66057179778639,,
4,1_11,Clay Pipe Bowl,,1847-1860,Kyrl'S Quay,,[],,Modern,52.14327457042, -8.66057179778639,,
5,1_9,Clay Pipes,,,"Kyrl'S Quay, Skiddy'S Castle",,[],,,52.14327457042, -8.66057179778639,,
6,1_5,Porphyry Fragment And Pilgrimage Token,,13th c.,Old Beamish And Crawford Site,,[],,Norman / Medieval,51.897010, -8.476953,,
7,1_8,"Decorated Spoon, Spoon Handles",,,Old Beamish And Crawford Site,,[],,,51.897010, -8.476953,,
8,1_3,Medieval Glass Fragments,Glass,,South Main Street,,['Glass'],Glass,,51.897375983940044, -8.477028215602429,,
9,1_4,Norwegian Ragstone,Whetstone,12-13th c,South Main Street,,['Stone'],Stone,Norman / Medieval,51.897375983940044, -8.477028215602429,,
10,1_7,Paternoster,Amber,,South Main Street / Grand Parade,,['Amber'],Amber,,51.896937800147974, -8.475520461367724,,
11,1_12,Clay Pipe Bowl,,,,,[],,,,,,
12,2_1,Gaming Pieces,Antler,,Christ Church,,['Antler'],Antler,,51.897227, -8.476762,,
13,2_3,Gaming Pieces,"Ivory (Walrus), Antler, Wood",,Christ Church,,['Ivory'],Ivory,,51.897227, -8.476762,,
14,2_2,"Gaming Pieces, Pawns And Knights","Wood, Bone",,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
15,2_4,Head Of Child'S Toy,"Wood, Bone",,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
16,2_5,Dice,Bone,,Christ Church / South Main Street,,['Bone'],Bone,,51.897227, -8.476762,,
17,2_6,Tuning Pegs,"Wood, Bone",,Christ Church / South Main Street,,['Wood'],Wood,,51.897227, -8.476762,,
18,2_7,Bridge Of Stringed Instrument,Bone,,South Main Street,,['Bone'],Bone,,51.897375983940044, -8.477028215602429,,
19,2_8,Whistles,Bone,,South Main Street / Grand Parade,,['Bone'],Bone,,51.896937800147974, -8.475520461367724,,
20,3_2,Wooden Spoons And Bowl,Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
21,3_1,Wooden Bowling Ball,Wood,17th c?,,,['Wood'],Wood,Post-Medieval / Early Modern,,,,
22,4_1,Proto-Ham Green Ware,,11-12th c,South Main Street,Bristol,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.453943391940264, -2.5893442050594415
23,4_2,Minety Type,,12-13th c,South Main Street,North Wiltshire,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.55688693771093, -2.0739313128080497
24,4_3,Ham Green,,12th c,South Main Street,Bristol,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.453943391940264, -2.5893442050594415
25,4_4,Redcliffe,,13-14th c,South Main Street,Bristol,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.453943391940264, -2.5893442050594415
26,4_5,Bristol A/B & C,,11-12th c,South Main Street,Bristol,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.453943391940264, -2.5893442050594415
27,4_6,Ham Green Cook Ware,,12-13th c,South Main Street,Bristol,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.453943391940264, -2.5893442050594415
28,4_7,Minety Type,,12-13th c,South Main Street,North Wiltshire,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.55688693771093, -2.0739313128080497
29,4_8,South-East Wiltshire Type,,11-12th c,South Main Street,South-East Wiltshire,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.08408913107004, -2.135652846366046
30,4_9,Saintonge Polychrome,,13-14th c,South Main Street,Saintonge,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,45.75, -0.633333
31,4_10,Orléans-Type,,12-13th c,South Main Street,Orléans,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,47.90233120046307, 1.9060132949523796
32,4_11,Parthenay,,13th c,South Main Street,Parthenay,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,46.64593820370424, -0.24474704006636286
33,4_13,Saintonge Mottled Green Glazed,,13-14th c,South Main Street,Saintonge,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,45.75, -0.633333
34,4_14,Normandy,,12-13th c,South Main Street,France And The Low Countries,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,52.167647975626295, 4.611814562866306
35,4_18,Paffrath,,12-13th c,South Main Street,Rhineland,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,50.03164204980021, 7.2929489579296565
36,4_20,Flemish Redware,,13-14th c,South Main Street,Flanders,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.05782296790548, 4.247357355384763
37,4_21,Cork Type,,13-14th c,South Main Street,Cork,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,51.89695533633236, -8.475504827617964
38,4_12,Beauvais,,16-17th c,South Main Street,West Beauvais,[],,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,49.430903289802615, 2.0557650234910585
39,4_15,Martincamp Type,,16-17th c,South Main Street,Normandy,[],,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,49.24061982735351, 0.20869696730937587
40,4_16,Seville Coarseware,,17th c,South Main Street,Seville,[],,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,37.38980078658528, -5.9890517414407825
41,4_17,Merida-Type Coarseware,,17th c,South Main Street,High Alentejo,[],,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,38.363421957583896, -7.933571944186703
42,4_19,North Holland Slipware,,17th c,South Main Street,North Holland,[],,Post-Medieval / Early Modern,51.897375983940044, -8.477028215602429,52.81223301424819, 4.837056067282885
43,5_3,Chafing Dish,,,4 Grattan Street,Saintonge,[],,,51.899579234015995, -8.478785942328217,45.75, -0.633333
44,5_2,Jugs With Anthropomorphic Decoration,,,Christ Church,Ham Green B,[],,,51.897227, -8.476762,,
45,5_11,,,,Christ Church,,[],,,51.897227, -8.476762,,
46,5_4,,,,Grattan Street,,[],,,51.900157, -8.480930,,
47,5_6,Saintonge Polychrome,,,Grattan Street,,[],,,51.900157, -8.480930,,
48,5_9,Anthropomorphic Spouts,,,Kyrl'S Quay,Redcliffe,[],,,52.14327457042, -8.66057179778639,51.45118760972179, -2.589789081747626
49,5_1,Bichrome Chafing Dishes,,,Skiddy'S Castle,Saintonge,[],,,51.900614, -8.479397,45.75, -0.633333
50,5_5,Parthenay,,,South Main Street,,[],,,51.897375983940044, -8.477028215602429,,
51,5_7,Jug,,,South Main Street,Parthenay,[],,,51.897375983940044, -8.477028215602429,46.64593820370424, -0.24474704006636286
52,5_8,Hunting Scene,,,South Main Street,Ham Green B,[],,,51.897375983940044, -8.477028215602429,,
53,5_10,Jug Parts,,,South Main Street,Ham Green A,[],,,51.897375983940044, -8.477028215602429,,
54,6_12,Fishing Rod Float,Alder Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
55,6_7,Antler Tine And Burr,Antler,,Christ Church,,['Antler'],Antler,,51.897227, -8.476762,,
56,6_9,Buckle / Strap Tag,Antler,,Christ Church,,['Antler'],Antler,,51.897227, -8.476762,,
57,6_16,Handle,Antler,,Christ Church,,['Antler'],Antler,,51.897227, -8.476762,,
58,6_10,Buttons,Bone,18-19th c,Christ Church,,['Bone'],Bone,Post-Medieval / Early Modern,51.897227, -8.476762,,
59,6_4,Toggles/Dress Fastener,Bone,,Christ Church,,['Bone'],Bone,,51.897227, -8.476762,,
60,6_11,Beads,Bone,,Christ Church,,['Bone'],Bone,,51.897227, -8.476762,,
61,6_17,Weaving Spool,Bone,,Christ Church,,['Bone'],Bone,,51.897227, -8.476762,,
62,6_22,Hollow Cylinders,Bone,,Christ Church,,['Bone'],Bone,,51.897227, -8.476762,,
63,6_25,Casket Mounts,"Bone, Antler",,Christ Church,,['Bone'],Bone,,51.897227, -8.476762,,
64,6_28,Spindle Whirls,Cattle Bone,,Christ Church,,['Bone'],Bone,,51.897227, -8.476762,,
65,6_13,Tools Rest,Oak Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
66,6_15,Bow Ends,Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
67,6_18,Knife,Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
68,6_21,Key,Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
69,6_20,Combs,"Wood, Antler",,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
70,6_1,Beetle,Yew Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
71,6_8,Spindles,Yew Wood,,Christ Church,,['Wood'],Wood,,51.897227, -8.476762,,
72,6_14,Arrow,,,Christ Church,,[],,,51.897227, -8.476762,,
73,6_5,Needle Cases,"Sheep Bone, Goat Bone, Dog Bone",,Christ Church / South Main Street,,['Bone'],Bone,,51.897227, -8.476762,,
74,6_23,Tooth Brushes,Bone,,"Christ Church, Skiddy'S Church",,['Bone'],Bone,,52.14327457042, -8.66057179778639,,
75,6_26,Tally Sticks,"Bone, Wood",,Christ Church / South Main Street,,['Bone'],Bone,,51.897227, -8.476762,,
76,6_6,Parchment Picker,Bone,,"Christ Church, Washington Street",,['Bone'],Bone,,51.897781132145596, -8.476824051227474,,
77,6_3,Apple Corer,Sheep Bone,,Skiddy'S Castle,,['Bone'],Bone,,51.900614, -8.479397,,
78,6_2,Weaving Tools,Bone,,Christ Church / Skiddy'S Castle,,['Bone'],Bone,,52.14327457042, -8.66057179778639,,
79,6_19,Hook,Bone,,South Main Street,,['Bone'],Bone,,51.897375983940044, -8.477028215602429,,
80,6_24,Needle,Bone,,South Main Street,,['Bone'],Bone,,51.897375983940044, -8.477028215602429,,
81,6_27,Needle,Bone,,South Main Street,,['Bone'],Bone,,51.897375983940044, -8.477028215602429,,
82,7_19,Buttons,,,Barrack Street,,[],,,51.89319080247318, -8.479144460762653,,
83,7_20,Brooch,,,Barrack Street,,[],,,51.89319080247318, -8.479144460762653,,
84,7_17,Strap Hinge Terminal,Iron,,Christ Church,,['Iron'],Iron,,51.897227, -8.476762,,
85,7_9,Needles,"Bronze, Iron",,Christ Church / South Main Street,,['Bronze'],Bronze,,51.897227, -8.476762,,
86,7_14,Keys,,late 13th to 15th c,Christ Church / South Main Street,,[],,Norman / Medieval,51.897227, -8.476762,,
87,7_6,Arrow/Spear Heads,,13th c,"Christ Church, Washington Street",,[],,Norman / Medieval,51.897781132145596, -8.476824051227474,,
88,7_1,Candlestick,Bronze,,Grand Parade,,['Bronze'],Bronze,,51.8968534660776, -8.474774051044804,,
89,7_12,Spur Rowels,Bronze,,Grand Parade,,['Bronze'],Bronze,,51.8968534660776, -8.474774051044804,,
90,7_21,Ring,Bronze,,Grand Parade,,['Bronze'],Bronze,,51.8968534660776, -8.474774051044804,,
91,7_18,Coins,,1247-1272,South Main Street / Grand Parade,,[],,Norman / Medieval,51.896937800147974, -8.475520461367724,,
92,7_4,Handle,,late 12th c,Hanover Street,,[],,Norman / Medieval,51.896968, -8.478748,,
93,7_11,Knives,,late 12th c / early 13th c,Hanover Street,,[],,Norman / Medieval,51.896968, -8.478748,,
94,7_13,Scale/Balance,,late 12th c,Hanover Street,,[],,Norman / Medieval,51.896968, -8.478748,,
95,7_16,Mirror Cases,Bronze,early 14th c,"Hanover Street, South Main Street",,['Bronze'],Bronze,Norman / Medieval,52.14327457042, -8.66057179778639,,
96,7_15,Weights,Lead,late 12th c,"Hanover Street, South Main Street",,['Lead'],Lead,Norman / Medieval,52.14327457042, -8.66057179778639,,
97,7_8,Iron Shears,Iron,early 12th c,South Main Street,,['Iron'],Iron,Norman / Medieval,51.897375983940044, -8.477028215602429,,
98,7_2,Pins,,12-13th c,South Main Street,,[],,Norman / Medieval,51.897375983940044, -8.477028215602429,,
99,7_10,Hooks / Twisted Iron Peg,,,"Tuckey Street, Hanover Street, South Main Street",,[],,,52.14327457042, -8.66057179778639,,
100,7_5,Buckles,,,"Tuckey Street, Washington Street, Christ Church, Grand Parade",,[],,,52.14327457042, -8.66057179778639,,
101,7_3,Barrel Lock,,12th c,Washington Street,,[],,Norman / Medieval,51.897616, -8.478334,,
102,7_7,Scissors,,late 13th / early 14th c,Washington Street,,[],,Norman / Medieval,51.897616, -8.478334,,
103,8_3,Lid,,,Christ Church,Cork,[],,,51.897227, -8.476762,51.89695533633236, -8.475504827617964
104,8_5,Handle,,,Christ Church,Ham Green B,[],,,51.897227, -8.476762,,
105,8_1,Spouts,,,Kyrl'S Quay,Redcliffe,[],,,52.14327457042, -8.66057179778639,51.45118760972179, -2.589789081747626
106,8_6,Handles,,,"Kyrl'S Quay, South Main Street",Redcliffe,[],,,52.14327457042, -8.66057179778639,51.45118760972179, -2.589789081747626
107,8_2,Spouts,,,South Main Street,Saintonge,[],,,51.897375983940044, -8.477028215602429,45.75, -0.633333
108,8_4,Handles,,,South Main Street,Saintonge,[],,,51.897375983940044, -8.477028215602429,45.75, -0.633333
109,8_7,Handle,,,South Main Street,Ham Green,[],,,51.897375983940044, -8.477028215602429,51.477710568475864, -2.6765148423577942
110,8_8,Handle,,,South Main Street,Saintonge,[],,,51.897375983940044, -8.477028215602429,45.75, -0.633333
111,8_9,Handle,,,South Main Street,Saintonge,[],,,51.897375983940044, -8.477028215602429,45.75, -0.633333
112,8_10,Handles,,,South Main Street,Minety,[],,,51.897375983940044, -8.477028215602429,51.61518563628851, -1.964293079822721
113,9_1,Leather Shoes,Leather,,Christ Church,,['Leather'],Leather,,51.897227, -8.476762,,
114,10_1,Cork Horns,Bronze,1st-5th c,River Lee,,['Bronze'],Bronze,Iron Age,52.14327457042, -8.66057179778639,,
115,11_1,Sheela-Na-Gig,,14-15th c,"Loughbeg, Ringaskiddy",,[],,Norman / Medieval,52.14327457042, -8.66057179778639,,
116,11_2,Sheela-Na-Gig,,,Tracton Abbey,,[],,,51.88952747943825, -8.440791377234047,,
117,12_1,Wooden Box Lid Or Side Of Wooden Casket,Yew Wood,,South Main Street,,['Wood'],Wood,,51.897375983940044, -8.477028215602429,,
